keyword,title,text
WELCOME,Приветствие,"Это бот, который поможет вам найти недвижимость для своего бизнеса."
START_OVER,После возврата в главное меню,"Выберите действие"
BOT_DESCRIPTION,Описание бота,"Это бот, который поможет вам найти различные объекты недвижимости. Выберите город, категорию, диапазон стоимости и получите объявления о недвижимости. Если объявлений по запрошенным параметрам нет, то вы получите сведения об объектах недвижимости в выбранном городе и категории. Объявления можно добавлять в своё Избранное. Оставляйте комментарий к объявлениям, которые будут видны после одобрения администратором, — это позволит оперативно обновить информацию в объявлении. Бот принадлежит компании «Премиум продукт». Код бота написали Кавтырев Максим (github.com/h-inek), Мишустин Василий (vvvas.ru), Песчанов Никита (github.com/ItWasCain), Сулайманова Сайкал (github.com/saikal12) и Турубанов Евгений (github.com/eturubanov)."
DELETE_PROFILE,После удаления профиля,"Учетная запись удалена."
START_WORK,Начало поиска,"Давайте начнем поиск объявлений. Введите город."
CITY_CHOICE_NOT,Подбор города — не нашлось,"Я не нашёл ни одного города, попробуйте ввести другое название."
CITY_CHOICE,Подбор города,"Вот такие города я нашёл. Выберите нужный из списка."
CATEGORY_CHOICE,Подбор категории,"Отлично! Теперь выберите категорию."
PRICE_INPUT,Ввод цены,"Остался последний шаг! Укажите ценовой диапозон, разделяя цифры дефисом (-): 10000-20000."
ADS_NOT_FOUND,При поиске не найдены объявления,"Я не нашёл объявлений по заданным критериям. Вот объекты недвижимости выбранной категории в выбранном городе."
REALTIES_NOT_FOUND,При поиске не найдены объявления,"Я не нашёл ни объявлений, ни объектов недвижимости по заданным критериям, попробуйте ещё раз выбрав другие характеристики."
